,W,Reject null hypothesis
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas gingivalis,234,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae [XI] Filifactor alocis,233,True
Bacteria Spirochaetes Spirochaetia Spirochaetales Spirochaetaceae Treponema,233,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella forsythia,230,True
Bacteria Synergistetes Synergistia Synergistales Synergistaceae Fretibacterium,230,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas sp. HMT 285,229,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae [XI] Peptostreptococcaceae [XI][G-6] nodatum,228,True
Bacteria Firmicutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma,227,True
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae [XIV] Lachnospiraceae [G-8] bacterium HMT 500,225,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae [XI] Peptostreptococcaceae [XI][G-5] saphenum,213,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae [XI] Peptostreptococcaceae [XI][G-9] brachy,212,True
Bacteria Spirochaetes Spirochaetia Spirochaetales Spirochaetaceae Treponema sp. HMT 260,212,True
Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobulbaceae Desulfobulbus sp. HMT 041,211,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella dentalis,211,True
Bacteria Bacteroidetes Bacteroidetes [C-1] Bacteroidetes [O-1] Bacteroidetes [F-1] Bacteroidetes [G-3],204,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae [XI] Peptostreptococcus anaerobius,203,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae [XI] Peptostreptococcaceae [XI][G-4] bacterium HMT 369,203,True
Bacteria Firmicutes Clostridia Clostridiales Clostridiales [F-1] Clostridiales [F-1][G-1] bacterium HMT 093,199,True
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae [XIV] Oribacterium sinus,197,True
Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces,197,True
Bacteria Firmicutes Clostridia Clostridiales Peptoniphilaceae Parvimonas sp. HMT 393,194,True
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella nanceiensis,194,True
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae,193,True
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae [XIV] Johnsonella sp. HMT 166,191,True
Bacteria Spirochaetes Spirochaetia Spirochaetales Spirochaetaceae Treponema sp. HMT 258,183,True
Bacteria Firmicutes Negativicutes Veillonellales Veillonellaceae Veillonella denticariosi,182,True
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae [XIV] Catonella sp. HMT 164,181,True
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae [XI] Mogibacterium,181,True
